INDIV	Sire	Dam	FAM	DaysM	Sex	Market
1426	502	681	502-681	626.22	2	1
1427	502	681	502-681	725.83	2	1
1428	502	681	502-681	518.72	1	1
1429	502	681	502-681	567.75	2	1
1430	502	681	502-681	611.05	2	1
1431	502	681	502-681	520.14	1	1
1432	502	681	502-681	511.87	2	1
1433	502	681	502-681	663.99	2	1
1434	502	681	502-681	618.83	2	1
1435	502	681	502-681	534.51	1	1
1436	502	681	502-681	488	1	1
1437	502	681	502-681	521.46	1	1
1438	592	731	592-731	579.88	2	1
1439	592	731	592-731	528.83	1	1
1440	592	731	592-731	526.88	2	1
1441	592	731	592-731	542.65	1	1
1442	592	731	592-731	539.22	2	1
1443	592	731	592-731	568.82	1	1
1444	592	731	592-731	538.71	1	1
1445	592	731	592-731	492.5	1	1
1446	710	612	710-612	572.85	1	1
1447	710	612	710-612	528.1	1	1
1448	710	612	710-612	516.29	2	0
1449	710	612	710-612	552.24	2	1
1450	710	612	710-612	468.35	1	0
1451	710	612	710-612	454.1	2	0
1452	710	612	710-612	685.05	2	1
1453	710	612	710-612	504.48	2	1
1454	665	545	665-545	529.21	1	1
1455	665	545	665-545	661.01	1	1
1456	665	545	665-545	693.81	2	1
1457	665	545	665-545	648.53	1	1
1458	665	545	665-545	568.81	2	1
1459	665	545	665-545	663.18	1	1
1460	665	545	665-545	549.94	1	1
1461	611	739	611-739	515.08	1	1
1462	611	739	611-739	570.72	1	1
1463	611	739	611-739	570.27	2	1
1464	611	739	611-739	526.52	1	1
1465	611	739	611-739	484.14	1	0
1466	611	739	611-739	643.82	1	1
1467	611	739	611-739	552.88	2	1
1468	611	739	611-739	533.41	2	1
1469	611	739	611-739	503.66	2	1
1470	518	617	518-617	586.59	2	1
1471	518	617	518-617	633.05	2	1
1472	518	617	518-617	535.73	2	1
1473	518	617	518-617	506.16	2	1
1474	518	617	518-617	545.48	2	1
1475	518	617	518-617	615.96	1	1
1476	518	617	518-617	617.52	1	1
1477	518	617	518-617	495.05	1	0
1478	652	627	652-627	547.98	2	1
1479	652	627	652-627	422.11	1	0
1480	652	627	652-627	584.44	1	1
1481	652	627	652-627	461.23	2	1
1482	652	627	652-627	481.68	2	1
1483	651	555	651-555	575.3	1	1
1484	651	555	651-555	601.44	1	1
1485	651	555	651-555	555.36	1	1
1486	651	555	651-555	574.35	1	1
1487	651	555	651-555	582.1	2	1
1488	651	555	651-555	518.26	1	1
1489	591	595	591-595	645.35	2	1
1490	591	595	591-595	496	1	0
1491	591	595	591-595	559.2	1	1
1492	591	595	591-595	502.97	1	1
1493	591	595	591-595	548.62	2	1
1494	674	542	674-542	606.42	2	1
1495	674	542	674-542	473.19	1	1
1496	674	542	674-542	530.56	2	1
1497	674	542	674-542	594.51	2	1
1498	674	542	674-542	562.24	2	1
1499	674	542	674-542	566.83	2	1
1500	674	542	674-542	565.12	1	1
1501	701	539	701-539	549.04	1	1
1502	701	539	701-539	681.77	2	1
1503	701	539	701-539	593.66	1	1
1504	701	539	701-539	507.34	2	1
1505	701	539	701-539	611.31	2	1
1506	722	501	722-501	607.32	2	1
1507	722	501	722-501	543.55	1	1
1508	722	501	722-501	545.64	2	1
