IDSORT	FamilyID	Female	Male	cloneid	Rep	IncBlock	Tree	VOL
102	41	Par913	Par917	599	1	2	7	870.6935
103	51	Par905	Par921	742	1	2	8	426.803
104	46	Par927	Par931	668	1	2	9	NA
105	30	Par904	Par903	434	1	2	10	NA
106	24	Par915	Par904	336	1	1	6	565.548
107	13	Par901	Par916	184	1	1	7	NA
108	61	Par912	Par904	867	1	1	8	756.6377
109	10	Par905	Par930	135	1	1	9	437.9811
110	2	Par910	Par908	24	1	1	10	462.3707
112	52	Par911	Par905	749	1	12	2	576.6765
114	11	Par929	Par920	153	1	12	4	613.9818
115	4	Par906	Par901	54	1	12	5	NA
116	45	Par901	Par919	659	1	13	1	NA
117	53	Par924	Par907	769	1	13	2	644.4687
118	26	Par922	Par921	374	1	13	3	570.9091
119	40	Par922	Par917	584	1	13	4	675.9392
120	32	Par928	Par930	466	1	13	5	508.5218
121	33	Par908	Par914	477	1	14	1	NA
122	10	Par905	Par930	130	1	14	2	600.0362
123	41	Par913	Par917	613	1	14	3	738.0942
124	26	Par922	Par921	369	1	14	4	728.516
125	46	Par927	Par931	678	1	14	5	NA
126	26	Par922	Par921	371	1	15	1	349.1393
127	2	Par910	Par908	25	1	15	2	506.5974
128	61	Par912	Par904	859	1	15	3	752.5976
129	45	Par901	Par919	665	1	15	4	299.8995
130	13	Par901	Par916	183	1	15	5	714.0927
131	39	Par912	Par923	569	1	16	1	747.6723
132	52	Par911	Par905	757	1	16	2	231.2312
133	15	Par909	Par914	210	1	16	3	NA
134	47	Par928	Par904	690	1	16	4	NA
135	31	Par908	Par927	451	1	16	5	NA
137	22	Par913	Par923	309	1	17	2	NA
138	3	Par903	Par927	32	1	17	3	254.7222
139	58	Par919	Par926	827	1	17	4	528.2684
140	46	Par927	Par931	675	1	17	5	NA
141	40	Par922	Par917	588	1	18	1	777.0707
142	60	Par929	Par904	836	1	18	2	501.5615
143	26	Par922	Par921	365	1	18	3	NA
144	32	Par928	Par930	469	1	18	4	570.9091
145	24	Par915	Par904	339	1	18	5	259.7153
146	2	Par910	Par908	19	1	19	1	452.8394
149	53	Par924	Par907	762	1	19	4	623.396
150	26	Par922	Par921	376	1	19	5	723.3594
151	61	Par912	Par904	861	1	20	1	644.4687
152	27	Par923	Par905	394	1	20	2	NA
153	33	Par908	Par914	481	1	20	3	636.1055
154	41	Par913	Par917	597	1	20	4	NA
156	25	Par905	Par927	361	1	21	1	NA
157	22	Par913	Par923	305	1	21	2	726.3294
158	11	Par929	Par920	150	1	21	3	522.6272
159	15	Par909	Par914	205	1	21	4	592.2497
160	39	Par912	Par923	560	1	21	5	776.4067
161	11	Par929	Par920	141	1	22	1	NA
162	39	Par912	Par923	563	1	22	2	875.7393
164	25	Par905	Par927	348	1	22	4	NA
165	31	Par908	Par927	453	1	22	5	521.0378
166	59	Par914	Par926	833	1	22	6	NA
167	52	Par911	Par905	756	1	22	7	776.4067
168	23	Par901	Par924	314	1	22	8	522.4424
169	15	Par909	Par914	207	1	22	9	690.488
171	52	Par911	Par905	746	1	21	6	362.0065
172	4	Par906	Par901	53	1	21	7	339.1725
173	47	Par928	Par904	691	1	21	8	NA
174	59	Par914	Par926	834	1	21	9	401.6772
176	10	Par905	Par930	127	1	20	6	578.4151
177	3	Par903	Par927	29	1	20	7	747.6723
178	24	Par915	Par904	331	1	20	8	483.0273
179	14	Par925	Par908	195	1	20	9	NA
180	46	Par927	Par931	681	1	20	10	387.0001
181	13	Par901	Par916	175	1	19	6	565.548
182	45	Par901	Par919	660	1	19	7	NA
183	40	Par922	Par917	594	1	19	8	445.158
184	24	Par915	Par904	333	1	19	9	501.5615
185	32	Par928	Par930	470	1	19	10	509.2368
186	13	Par901	Par916	180	1	18	6	NA
188	13	Par901	Par916	186	1	18	8	NA
