REP	FAMILY	FEMALE	MALE	YIELD	CHECKLOT
17	FAM104	PAR0047	PAR0061	289.173	0
17	FAM149	PAR0056	PAR0008	245.819	0
17	FAM039	PAR0024	PAR0020	166.619	0
17	FAM071	PAR0037	PAR0061	192.094	0
17	FAM067	PAR0036	PAR0055	169.211	0
17	FAM046	PAR0031	PAR0029	117.486	0
17	FAM084	PAR0045	PAR0001	141.087	0
17	FAM140	PAR0054	PAR0008	116.333	0
17	FAM085	PAR0045	PAR0004	108.955	0
17	FAM100	PAR0047	PAR0023	209.376	0
17	FAM056	PAR0033	PAR0033	64.407	0
17	C1	C1	C1	91.605	1
17	FAM118	PAR0051	PAR0020	203.156	0
17	FAM134	PAR0053	PAR0021	146.981	0
17	FAM061	PAR0040	PAR0034	122.985	0
17	FAM012	PAR0002	PAR0028	78.174	0
17	FAM017	PAR0003	PAR0006	117.64	0
17	FAM155	PAR0058	PAR0051	296.509	0
17	FAM027	PAR0006	PAR0023	109.896	0
17	FAM033	PAR0011	PAR0020	193.353	0
17	FAM014	PAR0002	PAR0048	265.383	0
17	FAM068	PAR0036	PAR0060	105.201	0
17	FAM173	PAR0064	PAR0051	249.585	0
17	FAM021	PAR0004	PAR0020	167.367	0
17	FAM105	PAR0048	PAR0050	185.986	0
17	FAM053	PAR0032	PAR0032	68.399	0
17	FAM131	PAR0053	PAR0007	297.589	0
17	FAM001	PAR0021	PAR0025	189.179	0
17	FAM054	PAR0032	PAR0052	169.968	0
17	FAM061	PAR0034	PAR0040	126.79	0
17	FAM164	PAR0059	PAR0042	188.799	0
17	FAM066	PAR0049	PAR0036	212.017	0
17	FAM065	PAR0036	PAR0047	226.862	0
17	FAM002	PAR0045	PAR0046	210.376	0
17	FAM126	PAR0052	PAR0023	130.694	0
17	FAM062	PAR0034	PAR0061	238.183	0
17	FAM036	PAR0013	PAR0021	228.522	0
17	FAM101	PAR0047	PAR0026	246.438	0
17	FAM076	PAR0039	PAR0027	176.613	0
17	FAM057	PAR0033	PAR0035	95.769	0
17	FAM094	PAR0046	PAR0046	8.475	0
17	FAM157	PAR0059	PAR0002	144.955	0
17	FAM143	PAR0054	PAR0056	100.133	0
17	FAM087	PAR0045	PAR0024	210.673	0
17	FAM026	PAR0006	PAR0022	108.183	0
17	FAM133	PAR0053	PAR0009	185.238	0
17	FAM005	PAR0001	PAR0004	186.259	0
17	FAM088	PAR0045	PAR0051	164.765	0
17	FAM020	PAR0003	PAR0026	174.877	0
17	FAM147	PAR0055	PAR0060	158.69	0
17	FAM151	PAR0056	PAR0056	229.615	0
17	FAM049	PAR0031	PAR0031	137.088	0
17	FAM075	PAR0038	PAR0057	162.178	0
17	FAM022	PAR0004	PAR0024	293.082	0
17	FAM044	PAR0025	PAR0044	221.671	0
17	FAM023	PAR0004	PAR0027	141.912	0
17	FAM121	PAR0051	PAR0061	246.874	0
17	C20	C20	C20	224.264	1
17	FAM006	PAR0001	PAR0020	136.331	0
17	FAM010	PAR0002	PAR0009	181.438	0
17	FAM144	PAR0054	PAR0059	125.543	0
17	FAM069	PAR0037	PAR0037	94.618	0
17	FAM080	PAR0044	PAR0003	217.922	0
17	FAM064	PAR0035	PAR0061	287.712	0
17	FAM136	PAR0053	PAR0054	173.957	0
17	FAM102	PAR0047	PAR0047	75.022	0
17	FAM092	PAR0046	PAR0020	259.079	0
17	FAM146	PAR0055	PAR0047	232.245	0
17	FAM167	PAR0060	PAR0060	160.091	0
17	FAM132	PAR0053	PAR0008	301.83	0
17	FAM137	PAR0053	PAR0059	206.314	0
17	FAM025	PAR0006	PAR0006	104.62	0
17	FAM019	PAR0003	PAR0023	132.159	0
17	FAM043	PAR0024	PAR0053	166.581	0
17	FAM124	PAR0052	PAR0006	144.311	0
17	FAM017	PAR0006	PAR0003	256.3	0
17	FAM119	PAR0051	PAR0024	38.457	0
17	FAM016	PAR0002	PAR0057	182.403	0
17	FAM013	PAR0002	PAR0038	184.135	0
17	FAM063	PAR0035	PAR0029	179.326	0
17	FAM060	PAR0037	PAR0034	206.298	0
17	FAM037	PAR0039	PAR0019	199.904	0
17	FAM128	PAR0052	PAR0044	243.49	0
17	FAM030	PAR0009	PAR0028	177.678	0
17	FAM086	PAR0045	PAR0020	170.964	0
17	FAM047	PAR0031	PAR0016	257.217	0
17	FAM018	PAR0003	PAR0022	132.019	0
17	FAM117	PAR0051	PAR0013	170.088	0
17	FAM170	PAR0045	PAR0063	203.203	0
17	FAM098	PAR0047	PAR0006	125.752	0
17	FAM050	PAR0031	PAR0032	215.203	0
17	FAM172	PAR0064	PAR0020	133.997	0
17	FAM150	PAR0056	PAR0009	183.294	0
17	FAM114	PAR0051	PAR0001	182.325	0
17	FAM153	PAR0058	PAR0001	136.264	0
17	FAM042	PAR0024	PAR0024	68.828	0
17	FAM060	PAR0034	PAR0037	157.813	0
17	FAM096	PAR0047	PAR0003	337.999	0
17	FAM112	PAR0050	PAR0050	60.8	0
17	FAM145	PAR0054	PAR0061	187.035	0
17	FAM081	PAR0044	PAR0005	193.1	0
17	FAM127	PAR0052	PAR0026	112.151	0
17	FAM052	PAR0032	PAR0018	277.326	0
17	FAM013	PAR0038	PAR0002	254.41	0
17	FAM057	PAR0035	PAR0033	184.308	0
17	FAM093	PAR0046	PAR0024	290.629	0
17	FAM072	PAR0038	PAR0038	NA	0
17	FAM116	PAR0051	PAR0010	218.943	0
17	FAM007	PAR0001	PAR0024	163.031	0
17	FAM090	PAR0046	PAR0001	348.293	0
17	C3	C3	C3	127.738	1
17	FAM162	PAR0059	PAR0025	136.331	0
17	FAM089	PAR0045	PAR0058	100.407	0
17	FAM107	PAR0049	PAR0005	187.97	0
17	FAM005	PAR0004	PAR0001	221.207	0
17	FAM152	PAR0059	PAR0056	157.602	0
17	FAM074	PAR0038	PAR0050	185.771	0
17	FAM083	PAR0044	PAR0026	32.13	0
17	FAM168	PAR0009	PAR0008	158.619	0
17	FAM031	PAR0009	PAR0030	215.642	0
17	FAM040	PAR0020	PAR0053	205.103	0
17	FAM163	PAR0059	PAR0041	62.976	0
17	FAM073	PAR0038	PAR0048	172.838	0
17	FAM115	PAR0051	PAR0004	164.827	0
17	FAM130	PAR0053	PAR0002	172.868	0
17	FAM048	PAR0031	PAR0018	168.963	0
17	FAM050	PAR0032	PAR0031	192.501	0
17	FAM148	PAR0056	PAR0007	97.193	0
17	FAM024	PAR0004	PAR0061	264.502	0
17	C4	C4	C4	195.948	1
17	FAM079	PAR0039	PAR0061	130.892	0
17	C2	C2	C2	124.359	1
17	FAM139	PAR0054	PAR0007	275.857	0
17	FAM055	PAR0032	PAR0061	161.894	0
17	FAM051	PAR0031	PAR0061	114.863	0
17	FAM106	PAR0048	PAR0057	229.665	0
17	FAM109	PAR0049	PAR0049	22.458	0
17	FAM110	PAR0049	PAR0055	285.678	0
17	FAM159	PAR0059	PAR0008	296.813	0
17	FAM120	PAR0051	PAR0051	122.985	0
17	FAM028	PAR0007	PAR0025	267.975	0
17	FAM004	PAR0001	PAR0001	26.046	0
17	FAM169	PAR0015	PAR0024	226.833	0
17	FAM113	PAR0050	PAR0057	44.888	0
17	FAM125	PAR0052	PAR0022	200.14	0
17	C30	C30	C30	121.815	1
