INDIV	FEMALE	MALE
1200	FEM7	0
1201	C3	0
1202	C3	0
1203	C3	0
1204	C3	0
1205	C3	0
1206	C3	0
1207	FEM18	0
1208	FEM18	0
1209	FEM18	0
1210	FEM18	0
1211	FEM18	0
1212	FEM18	0
1213	FEM25	0
1214	FEM25	0
1215	FEM25	0
1216	FEM25	0
1217	FEM25	0
1218	FEM25	0
1219	FEM20	0
1220	FEM20	0
1221	FEM20	0
1222	FEM20	0
1223	FEM20	0
1224	FEM20	0
1225	FEM4	0
1226	FEM4	0
1227	FEM4	0
1228	FEM4	0
1229	FEM4	0
1230	FEM4	0
1231	FEM17	0
1232	FEM17	0
1233	FEM17	0
1234	FEM17	0
1235	FEM17	0
1236	FEM17	0
1237	FEM19	0
1238	FEM19	0
1239	FEM19	0
1240	FEM19	0
1241	FEM19	0
1242	FEM19	0
1243	FEM26	0
1244	FEM26	0
1245	FEM26	0
1246	FEM26	0
1247	FEM26	0
1248	FEM26	0
1249	C3	0
1250	C3	0
1251	C3	0
1252	C3	0
1253	C3	0
1254	C3	0
1255	FEM3	0
1256	FEM3	0
1257	FEM3	0
1258	FEM3	0
1259	FEM3	0
1260	FEM3	0
1261	FEM8	0
1262	FEM8	0
1263	FEM8	0
1264	FEM8	0
1265	FEM8	0
1266	FEM8	0
1267	C2	0
1268	C2	0
1269	C2	0
1270	C2	0
1271	C2	0
1272	C2	0
1273	FEM28	0
1274	FEM28	0
1275	FEM28	0
1276	FEM28	0
1277	FEM28	0
1278	FEM28	0
1279	FEM12	0
1280	FEM12	0
1281	FEM12	0
1282	FEM12	0
1283	FEM12	0
1284	FEM12	0
1285	FEM24	0
1286	FEM24	0
1287	FEM24	0
1288	FEM24	0
1289	FEM24	0
1290	FEM24	0
1291	FEM6	0
1292	FEM6	0
1293	FEM6	0
1294	FEM6	0
1295	FEM6	0
1296	FEM6	0
1297	FEM13	0
1298	FEM13	0
1299	FEM13	0
1300	FEM13	0
1301	FEM13	0
1302	FEM13	0
