INDIV	REP	PLOT	FEMALE	TYPE	DBH	HT
586	3	98	FEM3	Test	22.1	12.5
587	3	98	FEM3	Test	NA	NA
588	3	98	FEM3	Test	19.5	11.3
589	3	99	C3	Control	24.5	12.6
590	3	99	C3	Control	25.2	13
591	3	99	C3	Control	18.9	10.3
592	3	99	C3	Control	26	13
593	3	99	C3	Control	NA	NA
594	3	99	C3	Control	25.5	12
595	3	100	FEM11	Test	23.3	12.2
596	3	100	FEM11	Test	NA	NA
597	3	100	FEM11	Test	22.9	11.1
598	3	100	FEM11	Test	23.6	11.3
599	3	100	FEM11	Test	22.1	11.9
600	3	100	FEM11	Test	22.5	11.8
601	3	101	FEM13	Test	21.1	12.3
602	3	101	FEM13	Test	NA	NA
603	3	101	FEM13	Test	22.7	13.1
604	3	101	FEM13	Test	26.1	12.7
605	3	101	FEM13	Test	17.6	11.4
606	3	101	FEM13	Test	24.3	12.2
607	3	102	FEM20	Test	22.3	12.1
608	3	102	FEM20	Test	17.4	10.4
609	3	102	FEM20	Test	21.2	11.9
610	3	102	FEM20	Test	21.2	11.7
611	3	102	FEM20	Test	21.6	11.5
612	3	102	FEM20	Test	19	12.5
613	4	103	FEM14	Test	NA	NA
614	4	103	FEM14	Test	NA	NA
615	4	103	FEM14	Test	21.9	11.1
616	4	103	FEM14	Test	21.5	11.2
617	4	103	FEM14	Test	20.5	12.1
618	4	103	FEM14	Test	23.1	12.1
619	4	104	FEM24	Test	21.4	11.2
620	4	104	FEM24	Test	21.4	10.2
621	4	104	FEM24	Test	19.7	10
622	4	104	FEM24	Test	19.5	9.1
623	4	104	FEM24	Test	22.2	11
624	4	104	FEM24	Test	23.2	11.2
625	4	105	FEM6	Test	24.9	12.3
626	4	105	FEM6	Test	23.5	10.3
627	4	105	FEM6	Test	25.5	13
628	4	105	FEM6	Test	NA	NA
629	4	105	FEM6	Test	NA	NA
630	4	105	FEM6	Test	24	11.5
631	4	106	C1	Control	22.5	11.1
632	4	106	C1	Control	11.6	8.2
633	4	106	C1	Control	23.6	11.7
634	4	106	C1	Control	21.1	11.4
635	4	106	C1	Control	21.3	10.1
636	4	106	C1	Control	NA	NA
637	4	107	FEM15	Test	22.3	12.8
638	4	107	FEM15	Test	23.6	10.6
639	4	107	FEM15	Test	24.6	12.8
640	4	107	FEM15	Test	19.8	11.2
641	4	107	FEM15	Test	21.1	11.5
642	4	107	FEM15	Test	22.9	12.3
643	4	108	FEM28	Test	22.2	11.1
644	4	108	FEM28	Test	22.2	12.2
645	4	108	FEM28	Test	22.6	12
646	4	108	FEM28	Test	21.3	12.9
647	4	108	FEM28	Test	15.2	10.7
648	4	108	FEM28	Test	23.5	12.7
649	4	109	FEM1	Test	20.6	11.1
